,ImmuneSignature,StromalSignature,ESTIMATEScore
TCGA-CA-5255-01,828.1708116713398,-1123.3806177066617,-295.2098060353219
TCGA-CA-5256-01,1844.7120687910628,297.95694962997004,2142.669018421033
TCGA-CA-5796-01,2213.580728606381,-284.4615162280843,1929.1192123782967
TCGA-CA-5797-01,1861.805940580436,1433.7513156534442,3295.5572562338803
TCGA-CA-6715-01,375.9694006951886,-486.25430661033715,-110.28490591514856
TCGA-CA-6716-01,462.0618031586655,845.867289965352,1307.9290931240175
TCGA-CA-6717-01,3758.7048365098362,3178.957517851808,6937.662354361644
TCGA-CA-6718-01,3951.7287766244553,1712.809385579565,5664.53816220402
TCGA-CA-6719-01,2504.2487311331934,2351.331997180707,4855.5807283139
TCGA-CI-6619-01,2327.4522642017473,937.2977784783361,3264.7500426800834
TCGA-CI-6620-01,1474.2862827852823,1213.3429147874558,2687.629197572738
TCGA-CI-6621-01,2776.2961556473238,1930.6587418242798,4706.9548974716035
TCGA-CI-6622-01,975.8219215088975,-115.92551916791672,859.8964023409808
TCGA-CI-6623-01,1841.8916918327159,580.3572976048945,2422.2489894376104
TCGA-CI-6624-01,2825.9439210157816,2095.053677099937,4920.997598115719
TCGA-CK-4947-01,3102.442577728598,1718.4971439627152,4820.939721691313
TCGA-CK-4948-01,2043.5891467302572,1636.475816135453,3680.06496286571
TCGA-CK-4950-01,3034.9250904477103,969.8199926157558,4004.745083063466
TCGA-CK-4951-01,3497.1377408243316,2424.6034980249697,5921.741238849301
TCGA-CK-4952-01,1670.4659186180706,181.86218196131267,1852.3281005793833
TCGA-CK-5912-01,1219.0852233164278,718.8011930971879,1937.8864164136157
TCGA-CK-5913-01,2714.6287434906444,1346.5254311567587,4061.154174647403
TCGA-CK-5914-01,1608.4079207515515,843.9321098828386,2452.34003063439
TCGA-CK-5915-01,254.75130331908986,-516.2413700917332,-261.49006677264333
TCGA-CK-5916-01,3851.10492053881,1916.8843666440425,5767.989287182852
TCGA-CK-6746-01,3457.713461939433,253.35064252888878,3711.0641044683216
TCGA-CK-6747-01,1913.0584290389452,784.158847865896,2697.217276904841
TCGA-CK-6748-01,2412.7522540648242,2680.229006173169,5092.981260237993
TCGA-CK-6751-01,1875.3833042922925,1544.6085792077847,3419.991883500077
TCGA-CL-4957-01,960.2632198900574,449.6363815729219,1409.8996014629793
TCGA-CL-5917-01,603.3731340870454,531.3066269670871,1134.6797610541325
TCGA-CL-5918-01,1362.2761069285134,-752.6938113763008,609.5822955522126
TCGA-CM-4743-01,2437.2649229478156,292.4535743136348,2729.7184972614505
TCGA-CM-4744-01,2487.5988749758853,-390.3425099809392,2097.256364994946
TCGA-CM-4747-01,1250.2007339841603,796.7852346919899,2046.9859686761502
TCGA-CM-4751-01,2953.7285904298788,1453.5816922024696,4407.310282632348
TCGA-CM-5344-01,1199.81414749107,1712.0599181691632,2911.874065660233
TCGA-CM-5348-01,3267.300638288232,3194.348967723068,6461.6496060113
TCGA-CM-5349-01,2570.2194209192457,1798.7743919970944,4368.99381291634
TCGA-CM-5860-01,2529.0385976262332,2726.7226579278667,5255.7612555541
