TF,n,spearman_rho,p,is_signature_gene,p_fdr_bh,significant_fdr01
CREBL2,380,0.29621096401097036,3.912705787102243e-09,False,2.0601593736170993e-08,True
ZNF548,380,0.29550483860879884,4.276065040585874e-09,False,2.243847011127774e-08,True
ZNF585B,380,0.29535586538016706,4.356799041817438e-09,False,2.2784881475450655e-08,True
MLX,380,-0.2940121545813684,5.154981306319888e-09,False,2.6868387414758203e-08,True
ZNF573,380,0.2939582008423985,5.189825279593821e-09,False,2.695922662017193e-08,True
HIF3A,380,0.2938354629792743,5.269943139486556e-09,False,2.7196881108206554e-08,True
ZKSCAN5,380,0.2938342917746102,5.270713393063286e-09,False,2.7196881108206554e-08,True
ZNF793,380,0.29296746966700465,5.871740489065101e-09,False,3.019752251519195e-08,True
TEF,380,0.2929123646876539,5.912114982090259e-09,False,3.0304483418131524e-08,True
LMX1B,380,0.2928629348896582,5.948560117404042e-09,False,3.039066357010382e-08,True
DMRTA1,380,0.29176412202247504,6.817277967037198e-09,False,3.471429701636047e-08,True
SOX4,380,0.2903281116901818,8.13949509506088e-09,False,4.131127346607948e-08,True
PROX1,380,0.2896345670578944,8.863917941653864e-09,False,4.484099664601367e-08,True
STAT2,380,0.2895894322880136,8.913166186141254e-09,False,4.4891976169479337e-08,True
SNAI1,380,0.28957223970193674,8.931995258526897e-09,False,4.4891976169479337e-08,True
ZNF516,380,0.28906556597195904,9.504516740828232e-09,False,4.76148605657026e-08,True
ZNF624,380,0.28876290970791557,9.863289654205156e-09,False,4.925281414422445e-08,True
ZNF264,380,0.28835110820532917,1.0372563986693134e-08,False,5.1629353863025626e-08,True
ZNF415,380,0.28593425908044046,1.391554340371793e-08,False,6.904250381075436e-08,True
KLF13,380,0.284468827539607,1.6606989470712455e-08,False,8.213297028965777e-08,True
ZNF221,380,0.28409125577041244,1.7378194474721115e-08,False,8.567339186900728e-08,True
